monument_id,monument_nom,monument_lat,monument_lon
10,Tour Pey-Berland à Bordeaux,44.8379962,-0.5777064
102,Musée des Plans-Reliefs,48.85647757,2.312697172
12,Château de Villeneuve-Lembron,45.47799655,3.185970783
13,Château de Chareil-Cintrat,46.23942016,3.229722977
14,Cloître de la cathédrale du Puy-en-Velay,45.0461801,3.8848592
15,Château d'Aulteribe,45.775,3.498889
16,Château de Bussy-Rabutin,47.56157768,4.523475766
19,Cairn de Barnenez,48.66756914,-3.858427405
2,Château de Maisons,48.9471671,2.15389967
20,Alignements de Carnac,47.597702,-3.0633934
21,Maison d'Ernest Renan à Tréguier,48.788491,-3.2271867
24,Château de Bouges,47.04240481,1.672968864
25,Cloître de la Psalette à Tours,47.39582912,0.694069862
27,Tours de la cathédrale de Chartres,48.44776369,1.487982273
29,Tours de la cathédrale de Reims,49.2534,4.033
35,Tour et crypte de la cathédrale de Bourges,47.08241152,2.398495674
37,Château de La Motte-Tilly,48.46713457,3.431473374
39,Palais du Tau à Reims,49.25309012,4.034181833
40,Domaine national de Saint-Cloud,48.83682143,2.218208313
44,Château de Vincennes,48.84266825,2.435703278
45,Maison des Jardies à Sèvres,48.8272072,2.1985906
95,Place forte de Mont-Dauphin,44.6691299,6.6252286
46,"Château de Rambouillet, Laiterie de la Reine et Chaumière aux Coquillages",48.64540401,1.817328036
52,Site archéologique et musée d'Ensérune,43.310556,3.115278
208,Hôtel de Béthune-Sully,48.854703,2.363875
31,Château de Fougères-sur-Bièvre,47.44773885,1.343808174
32,Château de Talcy,47.76975536,1.444476843
33,Château de Châteaudun,48.07079562,1.323723793
55,Château et remparts de la cité de Carcassonne,43.20728336,2.363262177
56,Forteresse de Salses,42.83968028,2.918302417
58,Abbaye de Beaulieu-en-Rouergue,44.2012986,1.8576953
59,Château de Castelnau-Bretenoux,44.8992,1.8256
6,Grotte de Pair-non-Pair,45.0396354,-0.5022214
60,Château d'Assier,44.6752839,1.8792255
383,Château de Puyguilhem,45.425833,0.744444
65,Site archéologique de Montmaurin,43.2246742,0.6370025
66,Abbaye du Mont-Saint-Michel,48.63597158,-1.511414051
67,Château de Carrouges,48.56012908,-0.154345036
68,Abbaye du Bec-Hellouin,49.228611,0.721667
71,Sainte-Chapelle,48.85536753,2.345023155
75,Tours de la cathédrale Notre-Dame de Paris,48.85297618,2.349953055
79,Château d'Angers,47.4698136,-0.5593384
5,Abbaye de La Sauve-Majeure,44.7679,-0.3125
8,Site archéologique de Montcaret,44.8587327,0.0638404
81,Château de Pierrefonds,49.34699376,2.980197072
85,Abbaye de Charroux,46.141736,0.404965
86,Site gallo-romain de Sanxay,46.4941324,-0.0070385
87,Cloître de la cathédrale de Fréjus,43.43306278,6.737151146
88,Abbaye de Montmajour,43.70567881,4.664148241
89,Château d'If,43.27985713,5.325134397
91,Site archéologique de Glanum,43.7736,4.833
96,Monastère de Saorge,43.9878757,7.5509564
99,Cathédrale de Besançon et son horloge astronomique,47.2336343,6.0303255
18,Abbaye de Cluny,46.43517292,4.658219218
23,Château d'Azay-le-Rideau,47.2595533,0.4666037
28,Maison de George Sand à Nohant,46.6254445,1.9749036
51,Tours de La Rochelle,46.15580101,-1.153231859
34,Palais Jacques Coeur à Bourges,47.085296,2.3944818
54,Tours et remparts d'Aigues-Mortes,43.56781436,4.190865755
80,Maison de Georges Clemenceau à Saint-Vincent-sur-Jard,46.4063,-1.5474
70,Conciergerie,48.85581755,2.3459512
9,Château de Cadillac,44.63810122,-0.320652723
72,Chapelle expiatoire,48.8736986,2.322691083
82,Château de Coucy,49.52177486,3.318611383
84,Château d'Oiron,46.95187347,-0.07733345
97,Trophée d'Auguste à La Turbie,43.74480501,7.401840091
98,Monastère royal de Brou à Bourg-en-Bresse,46.1978767,5.2356066
74,Arc de triomphe,48.873818,2.295023
103,Colonne de la Grande Armée à Wimille,50.7644118,1.6310642
94,Abbaye du Thoronet,43.4501102,6.3080895
375,Les Eyzies-de-Tayac,44.93599769,1.01565063
145,Basilique cathédrale de Saint-Denis,48.93541968,2.35991478
108,Tours de la cathédrale d'Amiens,49.895,2.302222
107,Domaine national du Palais-Royal,48.86497237,2.337738276
42,Château et Parc de Champs-sur-Marne,48.85364683,2.604038715
62,Château de Gramont,43.9580329,0.9211763
73,Panthéon,48.84628421,2.34607324
53,Fort Saint-André à Villeneuve-lez-Avignon,43.9662,4.8001
48,Villa Savoye à Poissy,48.92442556,2.028270364
377,Château de Voltaire à Ferney,46.2581309,6.1043544
381,Site des mégalithes de Locmariaquer,47.5732972,-2.9574633
382,Château de Montal,44.8624197,1.8599192
384,Domaine national de Jossigny,48.83743227,2.753582597
386,Villa Cavrois (aperçu d'un chantier en cours),50.666709,3.162723
